timestamp,source_ip,dest_ip,protocol,packet_size,status
2024-06-01 10:00:01,192.168.1.10,10.0.0.5,TCP,450,normal
2024-06-01 10:00:02,192.168.1.12,10.0.0.5,TCP,512,normal
2024-06-01 10:00:03,192.168.1.15,10.0.0.5,UDP,300,normal
2024-06-01 10:00:04,192.168.1.18,10.0.0.5,TCP,480,normal
2024-06-01 10:00:05,192.168.1.22,10.0.0.5,TCP,510,normal
2024-06-01 10:00:06,192.168.1.25,10.0.0.5,UDP,290,normal
2024-06-01 10:00:07,192.168.1.30,10.0.0.5,TCP,520,normal
2024-06-01 10:00:08,192.168.1.31,10.0.0.5,TCP,470,normal
2024-06-01 10:00:09,192.168.1.40,10.0.0.5,TCP,495,normal

2024-06-01 10:00:10,185.23.44.10,10.0.0.5,TCP,2200,attack

2024-06-01 10:00:11,192.168.1.45,10.0.0.5,UDP,310,normal
2024-06-01 10:00:12,192.168.1.50,10.0.0.5,TCP,480,normal
2024-06-01 10:00:13,192.168.1.55,10.0.0.5,UDP,300,normal
2024-06-01 10:00:14,192.168.1.60,10.0.0.5,TCP,510,normal
2024-06-01 10:00:15,192.168.1.61,10.0.0.5,TCP,520,normal
2024-06-01 10:00:16,192.168.1.62,10.0.0.5,UDP,305,normal
2024-06-01 10:00:17,192.168.1.63,10.0.0.5,TCP,490,normal
2024-06-01 10:00:18,192.168.1.64,10.0.0.5,TCP,470,normal
2024-06-01 10:00:19,192.168.1.65,10.0.0.5,UDP,295,normal
